x1,x2
8.570325388397819211e+00,1.604279236089220717e+01
2.123852676986419397e+01,2.558369015697228122e+01
4.989289073022007415e-02,1.627216892692787908e+01
1.249674971899582943e+01,2.206726509263919311e+01
1.157349354657476859e+01,1.735517387345104368e+01
1.351702994462038809e+01,2.182680377915244918e+01
2.330798135821447126e+00,2.316616984911802746e+01
-1.250534711083944650e+00,2.028667112981359466e+01
4.421359285124095706e+00,1.764986556175988142e+01
1.500984732959094359e+01,2.089551272340887067e+01
8.407568759262343150e+00,1.240682240321215346e+01
6.604780968619436976e-01,2.045412131030852620e+01
8.009733167587791414e+00,2.814368274524034064e+01
3.014136222959554523e+00,2.666544841637145424e+01
9.016908817403523457e+00,1.321625232512654335e+01
1.194201831385138846e+01,1.592926557489117556e+01
1.278091416574905637e+01,1.766358913731583513e+01
1.237500380680518930e+00,1.569911834188562061e+01
6.588436807318994504e+00,2.228543083750292553e+01
-3.771337726549836233e+00,2.116622250701173868e+01
-3.265464531967447570e+00,1.617602463848730565e+01
-2.738431707386397740e+00,1.093669081543955635e+01
1.405786456522112715e+01,3.416071117404435142e+01
3.870964453526328342e+00,3.047161765188206672e+01
1.179012018013851915e-01,2.487180238770955043e+01
2.062400316081240526e+00,2.856290481681828197e+01
1.284282694489923315e+01,1.704238634024728682e+01
1.365497941453848618e+01,1.910595818285594660e+01
-7.279926082066436877e-01,2.540628201157526078e+01
3.693717665142504103e+00,1.767419477536247996e+01
3.793586276194468976e+00,2.387088917839025726e+01
8.315790142263272955e+00,1.302200764116395959e+01
1.019454403591388214e+01,1.493611439967401466e+01
-1.555119454077164676e+00,2.239268711878297324e+01
9.335270076731891464e+00,1.540199560452790095e+01
9.439068200526389063e+00,1.415745348251307689e+01
1.337068025904807556e+01,1.823464451897829264e+01
5.995780406279704877e-01,2.458934522971465952e+01
-1.555259034027568710e+00,2.503938413765252236e+01
5.029450758124471399e+00,3.141420816784295766e+01
1.762346163821123746e+00,1.812005005412631675e+01
2.050679057960984597e+00,2.855102917868262935e+01
2.853126189440127636e+00,2.756153275463548624e+01
1.500393321681186976e+01,2.338265638823154191e+01
1.211833354320198985e+01,2.435969764312013197e+01
1.243153972400281404e+01,1.650687094735101113e+01
-4.425015672332296646e+00,2.186962079841218554e+01
1.531630517241008782e+01,2.634941763971061945e+01
-1.411693998612024714e+00,2.456566553090824812e+01
2.616675836799287946e+00,2.556567937526051537e+01
8.659023428358132435e+00,1.334856380795235253e+01
-3.572137492016729254e+00,2.292508114182581735e+01
-8.157285423991664786e+00,8.454574675586425059e+00
1.047873774900921973e+01,2.860612709041234325e+01
5.568839980787911870e+00,2.959512639300487180e+01
6.199921631013415535e+00,2.611857577283757337e+01
1.410346660139254027e+01,2.171726561045057835e+01
-7.298562468168139361e-01,2.179220715963829491e+01
8.255197394079594631e+00,1.408598993546774025e+01
1.812729431754437126e+00,1.353844908516745349e+01
7.667525204171852238e-01,2.585871569525428626e+01
-6.330144895834006746e-01,2.479415426060628747e+01
1.875289989717455086e+01,3.095987285448831727e+01
4.224092644447607015e+00,1.276078939014022140e+01
4.548137353952707684e+00,3.017712251785882671e+01
1.275808392033368222e+01,2.069092221653867725e+01
5.910277776986349707e+00,2.876109585583094130e+01
-3.871795420275935484e+00,1.640806674735625847e+01
1.423719567211824355e+01,2.986450382398011527e+01
1.292726319516227562e+01,1.705194750851423535e+01
8.888056645788608989e+00,3.098304109847047627e+01
6.093684874599979651e+00,2.509395264078282040e+01
1.346832387107690820e+00,2.739400797098213047e+01
5.039665878444374414e+00,2.617518101397701713e+01
1.700173598821724852e+01,2.792338022748561599e+01
6.930294056842583927e+00,1.339765351356970235e+01
1.671910952444206089e+01,2.743524093496195349e+01
1.058404104245420996e+01,2.020891866127792014e+01
-4.345395277817166502e+00,2.198004368614159532e+01
-2.550838761894791418e-01,1.498865890779695675e+01
-1.341681471523918923e+00,1.953569986368137634e+01
6.474598745221786800e-01,8.791343414586053839e+00
1.143362488197695725e+01,1.755299781722531804e+01
1.456342465498128291e+01,2.206339667960062556e+01
-2.630162905673122609e+00,2.368445194468375803e+01
3.991126526408187658e+00,1.216967303051251825e+01
7.150529837903651043e+00,2.693223343580939755e+01
1.364130533459591277e+01,2.808827011560673270e+01
7.913471130413336496e+00,3.207672307176730442e+01
-9.097159565975601936e+00,1.260841399856861855e+01
-3.799388059457635691e-01,1.738257026047400089e+01
3.681095384366800616e+00,2.000360671295172565e+01
1.249521855337149212e+01,2.835314408858871360e+01
1.885340170162255191e+00,2.756890468679513262e+01
-3.429521871465173177e+00,1.863042940560578842e+01
